Review,Rating
"This clinic is nothing but showoff! Please don't take your Pets to him. He is just concerned about money not about curing the pet. I lost my dog because of his negligence and asks you to do unnecessary tests especially blood test! when my dog was on its death bed he charged us a bomb for nothing and by the time we came home my pet passed away 🥺 I feel government veterinary hospital treats better..
If you are concerned about your pet please don't take it to him!",1 star
"Nice friendly envirnoment, all under 1 roof",5 stars
"This hosital I rate the best because,it is referral hospital
They never discriminate the cases
For street dogs they charge very less

God bless them",5 stars
"Today I had been there to Neha Speciality hospital with my baby because she had swallowed a button battery (not just one) and I rushed there with her with no hopes understanding how dangerous it is for my baby.. The doctors were so good they took her x-ray and found out 2 button battery and one small metal piece inside her stomach and they gave the medication asap and they made her puke & later gave her drip and other necessary medicines.. I’ll always be grateful for this.. I don’t have words to thank you enough. I just ignored the negative reviews and went there with my baby who was in such a critical condition and she’s completely fine other than her tiredness! I’ll never take my Zelda anywhere else other than Neha Speciality Hospital. THANK YOU SOO MUCH DOCTORS & EACH ONE OF YOUR STAFF, you guys were not only taking care of my child you were there support me as well. ❤️ 1000% recommended for pet parents",5 stars
"I've been to this vet twice with my kitten telling them that it's not eating anything they didn't check my kitten properly and it's dehydrated and had less blood all of these things I got to know when I went to the other vet because all I got to hear from this vet was my kitten is fine and it's been 2 days it's not drinking water and other vet told that he has 50% chances of staying alive because the doctor I took him to could not figure out that in time.

If it was malnutrition it was that doctor's duty to tell me that he was not fine,  every time I visited all he said was cat is fine where he should have taken his blood sample and checked him properly you guys have opend vet you should know what to do if I knew what was wrong I would have treated him on my own it was your job to tell me he was not fine you are the doctor if u have the title do your job properly because we're paying for it you're not doing it for free, also I left happily because that illiterate doctor who did not know his job told me my cat is fine without even checking him of course I believed him because he is the so called doctor who has no idea how to perform his duty.
When I took my pet to another vet they told me if you wouldn't have neglected the symptoms and condition my kitten would have been fine by now and would have recovered.
Also learn to accept your mistakes and own it up. narcissistic clinic
I hope your clinic shuts down.
To the person who is reading this I beg to you not take your pet in this hospital they don't have manners and don't know how to do their job.",1 star
Very good doctor ...they saved my kittens suffering from FPV,5 stars
"The very best place for dogs and cats, the treatment n hospitality is the best in Bangalore. I know Dr Azeem for about 18 years and he is my friend n veterinarian, he takes care of all my dogs. He has a very good support team, a good Surgeon Dr Nageshappa and the hospital staff Mr Kiran n others.",5 stars
Very good hospital for your loved pets .,5 stars
Dr Azeem is an experienced vet who treats animals with a lot of compassion. I visited him regarding relocation of my pet and he took care of  the microchipping procedure well. The hospital is open 24*7 with emergency services and boarding facilities. Recommended for pet parents!,5 stars
"It was the time when the doctor had recently moved into the building, we had bought a kitten (1month) which was weak and had fever, the kitten was handled very roughly absolutely no care, what so ever. We eventually lost the kitten (After 30mins after bringing it home).  Never ever recommending this hospital post this experience.",1 star
Night emergency services are very fast and goof,5 stars
Best treatment . And good Doctors . i am so Hpy having This Hospital . Tq 💞 …,5 stars
"Solomon was really patient in providing a haircut and wash for my pet. Booked an appointment over phone, got there in time and rest all was taken care by Solomon. Staff at the hospital are good too and the facility is well maintained.",5 stars
"The Service Provided by Dr, Azeem , Dr. Salman and their Team is excellent.  They are very Knowledgeable , kind, Attentive, patient and will answer every question you have. Dr. Azeem, helped save my cats life, and made sure there was a proper Diagnosis for the illness. Whereas other Vets that I had been to before misdiagnosed my cat and could have lead to his death. But thankfully I was guided every step of the way by Dr. Azeem and the Team! They are very hardworking and do everything possible to save lives. And for that my blessings are with them.
Dr. Azeem has expanded his Professional Practice into a Large Scale Hospital which is Very  Well Built and Designed. It’s Spacious, Clean and Well Equipped! And they are open 24/7 which is an absolute live saver!",5 stars
"I lost my dearest friend (also my first dog) by the sheer irresponsibility of the Doctor Azeem. My dog had fell and injured his leg. Instead of inspecting the leg carefully - which was his sole duty, he asked us to take Xray and just took a glance over it and instructed the compounder to put a plaster of Paris over the leg and asked us to visit after 1 month and charged a hefty fee. He did not even inspected the dog's leg carefully because of which he missed an open wound and soon inside the POP plaster that open wound started to infect his leg and the infection spread all over this body. We got to know about the infection only after the fowl smell that started coming after couple of days when we visited two other hospital for different opinions it was clear that POP plaster was the reason for the infection and there were no provision for air circulation also in that POP plaster and by then the whole leg was infected and it had spread to his vital organs. It was too late for us to save my dog. may his soul rest in peace! and the other doctor had said that the Neha Hospital has several court cases against them and also he said - THEY ARE ONLY CONCERNED ABOUT BREEDS NOT STRAYS!",1 star
First visit has been highly satisfying. The pet groomer was very efficient & caring. Excellent experience with Ms. Anjum & her team. Will definitely recommend this facility & also visit again. Thank you so very much!,5 stars
"The best doctors of veterinary
I just followed them by my friend suggestion,great results for my dog

It is really nice hospital",5 stars
This is a very good facility with sch goo doctors.... Who take personal care...like the pets are their own ... Such a warm and reassuring feeling... Start to end... Post operative care n guidence all given well and documented well... I m very happy with the entire hospital.... totally recommend if u have a pet n luv close by... Their shop has anything you need from eats dry wet treats ..toy ... Bags ...you name it ...,5 stars
"When shifted to Bangalore, we got this reference . It’s good and trustworthy hospital for pets. Doctors are very helpful and understanding. Open for 24/7 in all days.",5 stars
"Awesome clinic for pets. Doctors are good, they treat customers and pets very well.  Variety of pets food are available, accessories too are good. They guided us very well. I own two Persian kittens.",5 stars
"The doctors and other staffs are very courteous to both animals and the customers. Hospital is open 24x7 and kept very tidy. Highly recommended.
They also helped me out over phone, which I really appreciate.
Also available are pet foods and other supply.",5 stars
Very polite staff. My dog was scared to come inside the hospital for some reason so the doctor came outside and gave the vaccination. reasonable price compared to other private hospitals. Big supermarket inside for pet supplies. And three operation cubicles. so it's a big hospital.,5 stars
"I visited the hospital with my Lhasa (Murphy)to consult Dr.Aseem. Murphy twisted his leg and the veterinarian we took him to before couldn't diagnose it. Dr. Aseem was able to understand it and administered the right medicine. Also, he set up a follow-up appointment.
Therefore, I am very happy and had a great experience.",5 stars
"The Doctors and Staff at Neha Specialty Veterinary Hospital are absolutely the best. . They are extremely knowledgeable, compassionate, and caring. Their equipment is top of the line and on the cutting edge of veterinary medicine.",5 stars
"I would like to take this opportunity and thank each and everyone at Neha speciality clinic. As spl Dr. Azeem n Dr. Sandip they had put so much effort to save my dog who was almost dead. If it was not for them I don't know what would of happen to my little fellow, a well recommended place for your pets. Thank u once again Dr. Azeem and Dr. Sandip",5 stars
Me having pets for more than 10 years.. I have visited many hospitals.. But this one is one of the best hospital in the city.. Hats off to Dr. Azeem for maintaining the quality of treatment and his staff and the other duty doctors... Fully professional and cooperative.. Please do visit for your pets wellness and best care!!,5 stars
"One of the most caring and gentle doctors I've met. Dr. Azeem and his wife and children make sure you and your babies are taken care of in the best way possible. He doesn't leave you halfway wondering what happened, he will sit with you and explain every last bit even if you have no idea about health conditions in animals.

This is the only hospital I will take my babies to :)
Thank you Dr. Azeem! 😊",5 stars
"The best veterinary hospital in the north Bangalore
Spacious,no hidden charges and 24hrs hospital
Dr Azeem is the best",5 stars
Well equipped hospital with friendly environment,5 stars
Took injured stray dog at 1 AM and the Doctor treated well. Yelahanka is lucky to have 24/7 clinic like this.  Very friendly staff ....,5 stars
"EXTREMELY GOOD! veterinary hospital. Dr.Azeem is a professional, the other staffs are very friendly. My cat had a swollen leg, Dr. Azeem treated him very well. Very hygienic and well maintained place. May god bless them.",5 stars
"It is the go to place for your pets good care,  my Leo (Golden Retriever)  was having less platelets and hemoglobin and Dr. Azeem Sir was so swift by getting the blood test done and in treating my Leo by immediate blood transfusion with no issues and in couple of days time my Leo was back to normal..  Thank you so much for saving Man's Best Friend 😍",5 stars
"One of the best places to take your pet for any type of grooming or medical needs. The work efficiency is fast and the team works hastily to take care of your pets needs. Also in the area it is one of the best places to shop for any pet items like, food, toys or their accessories.",5 stars
This cat having problem from four days by vomiting and not eating food can you give treatment for this cat  i am from doddaballapur,4 stars
"I took my dog to this hospital in the morning at 5am coz my dog had severe pain n fever , I was very happy n satisfied for the way the doctor handled my pet n the timely help given, I want to recommend this hospital to everyone, thank you so much Dr. Suhas!",5 stars
"The doctor is very good he has treated our pet dog very well., for CCL with oral medicine, but when my pet had a lump on her leg we were advised surgery , and the surgery was planned, after the blood test, which was absolutely normal, and our pet very healthy, the surgery was done the next day by Dr. Nageshappa and immediately after the surgery we took her home next day she refused to take anything orally so we took her to the hospital and her blood test done and to our shock her creatinine and bilirubin levels had risen alarmingly, every two days her blood test was done and it was increasing every time, and ultimately she expired after 7 days of trauma. SO OUR SINCERE ADVICE WILL BE, NOT TO GO FOR SURGERY HERE AS THEY DO NOT HAVE A COMPETENT SURGERY DEPARTMENT. THOUGH THIS HOSPITAL HAS AN EXCELLENT MEDICINE DEPARTMENT IN DR. AZEEMULLAH.",1 star
"Very good Hospital and doctors. Less expensive, with no force or without informing medicine feedings, very first they'll information us n feed the pets.
Most importen is too identify the past problems and particular treatment given by doctors.",5 stars
"Great hospital with skilled doctors.
The way the they treat ur dog is so positive u will never go disappointed.
I'm a dog owner with own experience I'm typing in here ....",5 stars
"The treatment is very good by the Doctors , Very good supportive staffs.",5 stars
"Recently visited this place to buy a bag of MEOW 7kgs and PurePet 7 kgs dry catfood. Guess what? You get a discount 10% on wet foods for cats. Also bought Whiskas Salmon and Chicken gravy 4 boxes for my 9 cats.
Dr Azeem and his staff adviced me to also buy deworming  and Broadline SpotOn for fleas for my cats. 👍👍",4 stars
"I took my golden retriever here for trimming,they were really harsh with my pet evn after me continuously telling them to be humble they didn't and my dog got some bacterial infections   as they don't change the blade frequently and they gave him many tablets which was nt necessary but the doctor is  good  but I would appreciate if they  all  did their job with love towrds these innocent pets and be humble because we look after our pets with lot of care and we won't like somone mistreating them",2 stars
"The best veterinary hospital i have ever been to, all the doctors and all the staff are compassionate, experienced and friendly and they take really good care, The hospital is very neat and very organised.Will definitely recommend this place to everyone.",5 stars
Good hospital for our pets in Yelahanka. Open 24x7 also gives some peace of mind that we can go there in case of any emergency.,5 stars
"Thank you for all that you did for us and Cherry.
You are a good and kind man. I will always be grateful to your team for your kindness, support and everything you did for us during our time of need.
God bless you and your supporting team and family in abundance.
Thankyou so much 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",5 stars
"Best hospital for pets in North Bangalore, as Dr Azeem is very professional and expert in treating parvo viral infection and babessia , he has treated both of my dogs in span of 15 days",5 stars
Gud hospital with knowledgable doctor,5 stars
"Grooming  done by highly professional groomers seduction is given by experienced doctor,  staff is very Gud and co operative I strongly recommend this place for both treatment and grooming...  They treat pets as human",5 stars
Every visitor shall be amazed and happy  to see the service...  The BEST Dr in the city and the best hospital with all the services..   Happeee for the innocent lovable pets :),5 stars
Very affable staff with genuine bent of mind towards pet treatment.....all in all an excellent veterinary clinic👍👍🙂 …,5 stars
Unprofessional doctor my dog was having fever he didn't check now she is almost on death bed god save her all because of unprofessional doctor arrogant attitude and rude behaviour.plz avoid this clinic if u want to save your pet,1 star
Good doctors very gud place for all pets,5 stars
"The best one ever.   As i used to go alround and search the vet.. havin a best cute puppy to the neha vet...
Thank you neha specialitst
Morst est doctor kiran kumar.thank you👍♥️!!!",5 stars
"They provide upmost care for each and every animals, and give a such dedicated attention to every effort.
Thank you, sir for all the care you have been providing for our Chinnu..",5 stars
Best place where u can find the treatments easily for vets.... 24/7,5 stars
Gud hospital with professional doctor and highly equipped machinaries....,5 stars
Sooo good,5 stars
Hindu temple 🙌 …,5 stars
Best vet hospital in yalahanka,5 stars
End but,5 stars
upset,5 stars
shoulders,5 stars
Excellent place,5 stars
Good place for pet,5 stars
